date,distance
1984-01-04,-2.551478600029304
1984-01-17,-6.748531061855436
1984-01-23,-9.408437861544419
1984-02-02,-4.830831491026059
1984-02-09,-5.185028054163206
1984-02-16,-6.2062857153003534
1984-02-24,-7.213054422885666
1984-03-08,-8.189487781711795
1984-03-20,-6.798475336089764
1984-03-30,-5.708412062571403
1984-04-02,-6.004511796915895
1984-04-06,-6.80441817170855
1984-04-13,-7.260197264845699
1984-04-25,-8.898843107223666
1984-05-09,-5.271279390497961
1984-05-14,-0.2719673747387803
1984-05-24,-6.89422352222042
1984-06-01,-5.325656084805731
1984-06-13,-1.1643276251836983
1984-06-27,-3.7635470964579936
1984-07-09,3.0555202441640397
1984-07-27,0.39884341309708815
1984-08-10,1.552616495822793
1984-08-30,-2.0567233001404857
1984-09-06,-1.6334503942776335
1984-09-10,-2.6971564960702894
1984-09-20,-2.1844635265519283
1984-10-02,-6.004348905929896
1984-10-07,-2.823311790170715
1984-10-16,-13.006905741204191
1984-10-29,-9.231567717030323
1984-11-27,-4.131915072027077
1984-12-13,-2.7125020561976996
1985-01-02,2.3683123038390224
1985-01-05,0.6406695144945296
1985-01-25,-0.780739713468749
1985-02-07,0.7853259947051199
1985-02-14,-0.3122587534320278
1985-03-01,-1.7158493491544866
1985-03-15,-0.48497402742878193
1985-03-26,-2.322993604358585
1985-04-11,-2.239290456529208
1985-04-23,-0.014818334907175323
1985-05-09,0.8159804619222015
1985-05-31,-0.11035469093740513
1985-06-20,2.421806616099316
1985-07-15,1.9764039578952177
1985-07-19,5.869897425102563
1985-07-24,0.6866699958617422
1985-08-07,2.2264156805874467
1985-08-21,0.9040426233131513
1985-09-03,0.7829109974870203
1985-09-06,3.029163206142529
1985-09-09,2.0301398237980366
1985-09-11,6.64707466190171
1985-09-12,4.291405806453544
1985-09-13,4.178044852005381
1985-09-14,3.302259437557217
1985-09-15,2.9796383851090535
1985-09-16,4.564110888660888
1985-09-17,2.4592914302127253
1985-09-18,-0.009770380235438747
1985-09-19,0.17052606431639727
1985-09-20,0.05983914786823341
1985-09-25,-0.6244997003725867
1985-09-28,-0.4376814747170781
1985-10-15,-4.665843896335865
1985-10-19,-2.263427564128521
1985-10-20,-2.824086037576685
1985-10-21,-1.981133004024849
1985-10-22,-3.2518814014730126
1985-10-23,-4.072071619921177
1985-11-06,-10.308893591195472
1985-11-21,-8.517332102917932
1985-12-09,-1.711128649984882
1985-12-19,-1.771953827466521
1985-12-31,0.3438795201555114
1986-01-22,1.8990397252959053
1986-01-29,-2.510918336841243
1986-02-10,1.2872637427807896
1986-02-27,4.309966360162003
1986-03-11,4.678726855784037
1986-03-30,5.0112487232689205
1986-04-16,4.662704187650133
1986-04-22,-2.3735469520388497
1986-06-02,-2.633169317413571
1986-06-09,-2.0081744775507184
1986-06-23,-2.957993337825014
1986-07-09,-2.237100048995637
1986-07-22,1.6074215161782321
1986-08-13,3.5620021803186255
1986-08-18,4.021456286077806
1986-09-02,1.1513940953553456
1986-09-12,-0.44374193912629245
1986-09-18,0.3185403561847231
1986-09-20,1.8773595702883954
1986-09-26,2.2580876715994123
1986-09-30,5.088534057806756
1986-10-06,1.8853060101177723
1986-10-09,1.3249610767732802
1986-10-10,5.360095145325117
1986-10-11,1.6077523758769532
1986-10-12,0.2978392964287888
1986-10-13,-3.1293154420193754
1986-10-14,-3.4210993524675404
1986-10-15,-3.7112864739157034
1986-10-16,-1.1474074393638674
1986-10-17,-5.635643794812031
1986-10-18,-1.4734861772601957
1986-10-20,-1.2795590771565228
1986-10-22,-0.014960764052851516
1986-10-23,-5.217955964501015
1986-11-25,-7.9384773902904255
1986-12-04,-3.2415383983238995
1986-12-18,-6.667884681598195
1987-01-06,-7.255342718113311
1987-01-21,-4.55206924683577
1987-01-23,-1.3333664437320976
1987-02-04,-3.196415198110065
1987-02-13,-2.6554827681435405
1987-02-19,-4.5318916158325235
1987-03-03,-1.13256855021049
1987-03-18,-11.08299697293295
1987-03-26,-13.57445009251826
1987-04-02,-6.283036416655408
1987-04-30,-9.704487563203998
1987-05-11,-10.706903875133804
1987-05-19,-6.776553892719115
1987-05-29,-1.6903551692007532
1987-06-17,0.4526601312841301
1987-07-06,0.9242058277690166
1987-07-22,2.082772927598393
1987-07-31,4.637122050564917
1987-08-12,3.764193350186952
1987-09-01,1.949645300223671
1987-09-08,1.872610382086524
1987-09-29,0.9629512396750828
1987-11-05,-5.248680734906984
1987-11-13,4.743269728507704
1987-11-25,-2.6880389758702625
1987-12-02,0.8604342119925894
1987-12-09,-4.163269943144558
1987-12-23,-5.721165157418853
1988-01-04,1.344077372203179
1988-01-12,-1.4716065013821318
1988-02-01,-0.43030911234541147
1988-02-18,-0.1524453149641971
1988-03-03,-0.45726895523849276
1988-03-21,-1.7782408973054435
1988-03-30,-0.006608530338920282
1988-04-15,-2.021318636509542
1988-04-21,-3.766840072198525
1988-05-18,1.1360657747010476
1988-06-02,-0.7947283860214123
1988-06-07,-1.5978638692622305
1988-06-21,0.19318267846347315
1988-07-07,0.8886844072928497
1988-07-20,2.786010833466719
1988-08-08,1.4912109559516047
1988-10-11,5.670900688269112
1988-11-09,5.41630513227236
1988-11-21,1.755469452894392
1988-12-05,4.927454466620095
1988-12-19,5.0445217773458
1989-01-17,0.5605164343490472
1989-01-25,5.3004953537637345
1989-02-02,-4.145655883821577
1989-02-16,-1.4681752290958707
1989-02-21,1.736662209663308
1989-02-27,-6.578579093025676
1989-04-25,0.5082706834289805
1989-05-08,0.42930438360284917
1989-06-14,3.224422386020782
